row_number,job_id,title,town,area,advertiser,old_cluster,new_cluster,old_daily_region,new_daily_region,changed_cluster,changed_daily_region,specific_term_checked
18,1402260755,"Optometrist / Dundee / £60,000",Dundee,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
53,1402260712,"Optometrist/Edinburgh/£60,000",Edinburgh,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
63,1402260894,"Hearing Aid Audiologist, Derry",County Londonderry,Londonderry,Leightons Opticians & Hearing Care,London,Northern Ireland - West,,,True,False,True
65,1402260890,Optical Assistant job in Liverpool,Liverpool,City,Inspired Recruitment Group,London,REVIEW - ambiguous or unspecified,,,True,False,True
71,1402260831,"Optometrist / Newcastle / £70,000",Newcastle Upon Tyne,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
77,1402260801,"Optometrist Opportunity, Edinburgh / £55,000",Edinburgh,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
316,107540183,SEN Teaching Assistant,London,City,Jobsined Ltd,London,REVIEW - ambiguous or unspecified,,,True,False,True
370,1d6e4c9b-bcef-4e95-becf-fff7b09ade46,Finance Administrator (Part-Time),Belfast,City,Reed,London,REVIEW - ambiguous or unspecified,,,True,False,True
405,107425682,Medical Affairs Lead,London,City,UKPharm Limited,London,REVIEW - ambiguous or unspecified,,,True,False,True
769,1402261423,"Optometrist/Dundee/Up to £60,000",Dundee,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
773,1402261419,"Optometrist/Newcastle/Up to £70,000",Newcastle Upon Tyne,City,Leo,London,REVIEW - ambiguous or unspecified,,,True,False,True
788,1402261394,"Dundee Optometrist Role - Up to £65,000 !",Dundee,City,Vivid Optical,London,REVIEW - ambiguous or unspecified,,,True,False,True
801,1402261356,"Mobile Hearing Aid Audiologist, Belfast",Belfast,City,Leightons Opticians & Hearing Care,London,REVIEW - ambiguous or unspecified,,,True,False,True
840,21618_22101_267808,Beauty Therapist,Belfast,City,Superdrug,London,REVIEW - ambiguous or unspecified,,,True,False,True
900,2045037,Care Assistant Dayshift Our Ladys,Belfast,City,Macklin Care Homes Ltd,London,REVIEW - ambiguous or unspecified,,,True,False,True
901,2045025,Care Assistant,Belfast,City,MPA Recruitment,London,REVIEW - ambiguous or unspecified,,,True,False,True
902,2045024,Technical Admin (Graduate),Belfast,City,Honeycomb Jobs Ltd,London,REVIEW - ambiguous or unspecified,,,True,False,True
903,2045022,Inventory Administrator (6 Mnth Contract),Belfast,City,Honeycomb Jobs Ltd,London,REVIEW - ambiguous or unspecified,,,True,False,True
904,2044996,Admin Support (25/30 hours),County Londonderry,Londonderry,Hays,London,Northern Ireland - West,,,True,False,True
905,2044991,FATHERS WORKER,Belfast,City,Colin Neighbourhood Sure Start,London,REVIEW - ambiguous or unspecified,,,True,False,True
906,2044990,Admin,Belfast,City,MPA Recruitment,London,REVIEW - ambiguous or unspecified,,,True,False,True
908,2044961,Administrative & Communications Officer,County Londonderry,Londonderry,Ulster University,London,Northern Ireland - West,,,True,False,True
