display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
749c780b-40ca-424f-a463-d8b759794848,"Employment Paralegal - Nottingham -Heavy Hybrid- Unique Opportunity- £23,000 to £27,000",LIKELY_IN,ordinary workplace IT support title signal,Legal,Nottinghamshire,23000.00,27000.00,Annual,27000.0,NO,"Employment Paralegal - Nottingham -Heavy Hybrid- Unique Opportunity- £23,000 to £27,000 The Firm This Nottingham-based boutique employment law practice advises large business clients across the UK, providing clear, practical and commercially focused advice on workplace matters. The firm has built a strong reputation for its straight-talking approach and works closely with organisations to help them navigate complex employment issues. It is also an excellent place to grow your career, with a collaborative team environment where junior members are encouraged to develop their skills and pursue the areas of work that interest them most. The firm genuinely cares about recognising and utilising the strengths of its people, helping individuals build a career path that aligns with their talents. Have you been looking for a role where you can gain real exposure to employment law while working with large commercial clients? And would you enjoy being part of a team that invests in your development and encourages you to build your own path within the firm? The Role • Supporting solicitors in preparing advice and guidance in response to day-to-day employment law queries from clients • Reviewing…",,
23643_225472325,Patent Litigation Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,28000.00,30000.00,Annual,30000.0,NO,"A leading London law firm is seeking talented Paralegals to join its specialist teams, supporting work across Patent Litigation, Competition and CTC disputes. This is an excellent opportunity for a Paralegal looking to build strong legal experience within a highly regarded technology and life sciences firm, with exposure to complex disputes and high-quality international work. The Paralegal role: Supporting fee earners and assisting with the coordination of matters Preparing hearing bundles and supporting pre-hearing activities Organising and maintaining case files Reviewing documents for relevance and legal privilege Proofreading and preparing legal documentation Conducting legal research and monitoring external databases Liaising with clients and overseas law firms Participating in international conference calls and meetings Taking minutes and maintaining matter databases Supporting wider case management and administrative requirements The successful Paralegal: Previous legal or paralegal experience would be advantageous Strong attention to detail and excellent organisational skills Excellent written and verbal communication skills Ability to manage multiple tasks and competing d…",,
23643_225473216,Housing Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Other / Unknown,,,Annual,,NO,"… resident safety and community wellbeing. Working within a specialist ASB and Legal team, you will play a key role in helping the organisation meet its statutory obligations around gas and electrical safety while protecting residents and mitigating legal risk. This role is initially offered on a 3-month basis with the likelihood of extension and the potential to become permanent. Your new role As a Litigation Paralegal, you will manage a varied caseload of access injunction matters, supporting the Housing and Asset Management teams in securing access to residential properties where other avenues have been exhausted. You will act as a claimant advocate, representing the organisation in court proceedings and obtaining the necessary judicial remedies to ensure compliance with electrical and gas safety legislation. Key responsibilities will include: Managing litigation matters relating to access injunctions and statutory compliance. Preparing and drafting court documents, injunction applications, witness statements and instructions to Counsel. Advocating in court and attending hearings across the region. Managing complex litigated claims, including Part 8 proceedings and N16A injunction …",,
23643_225473624,Conveyancing Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Northamptonshire,28000.00,40000.00,Annual,40000.0,NO,"Conveyancing Paralegal 28,000 - 40,000 P/a (Dependant On Experience) Northampton BCR/JC/32368a Bell Cornwall Recruitment are delighted to be searching for a plot sales conveyancing paralegal to join a dedicated conveyancing team dealing with 5,000 properties brought and sold each year. The role includes but is not limited to: Issuing and preparing contract packs Dealing with deeds of easements and deeds of covenant, substation transfers and infrastructure and utility agreements. Dealing with pre-contract enquiries Undertaking Land Registry Applications for broader property team Completing online SDLT returns for broader Real Estate team Opening of files and preparation of bills Use of the Document Production System or any replacement system The Ideal Candidate: 2 years previous experience in conveyancing or plot sales Law degree or LPC Ability to grasp things quickly and easily Good working knowledge of various applications - word, excel, outlook High attention to detail skills Able to deliver a quality service to internal and external clients This is a brilliant opportunity for an experienced Conveyancing Paralegal - with a great conveyancing and plot sales skill set to enhance th…",,
23643_225472774,Trade Mark Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,26000.00,30000.00,Annual,30000.0,NO,"A highly regarded law firm is seeking an experienced Trade Mark Paralegal to join its busy Intellectual Property team. This is an excellent opportunity for a Trade Mark Paralegal with at least 2 years' experience to support trade mark attorneys and lawyers across portfolio management, formalities and client matters within a collaborative and forward-thinking environment. The Trade Mark Paralegal role: Managing and updating trade mark portfolios and databases Monitoring deadlines and maintaining accurate records Preparing and filing UKIPO and WIPO trade mark applications and forms Assisting with oppositions, cancellations and recordals Managing trade mark and domain name renewals Preparing client reports, cost estimates and invoices Liaising with clients, overseas attorneys and intellectual property offices Assisting with trade mark searches, watching services and portfolio audits Supporting global assignments and change of name recordals Assisting with evidence collection and general IP administration The successful Trade Mark Paralegal: Minimum 2 years' Trade Mark Paralegal or IP administration experience Strong knowledge of trade mark formalities and portfolio management Excellen…",,
23643_225474941,Legal Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Bedfordshire,,,Annual,,NO,"An excellent opportunity has arisen for an experienced Commercial Property Legal Assistant to join a well-established, Legal 500-ranked firm. The firm offers a competitive benefits package, including target-related bonuses and ongoing training and development to support your career as a Legal Assistant. This role presents the chance for a Legal Assistant to become part of a large, friendly, and supportive team of lawyers and legal assistants, contributing to a collaborative and professional working environment. Key Responsibilities for the Legal Assistant: Manage Fee Earner diaries, including arranging meetings and appointments Handle routine client correspondence and respond to telephone enquiries Open and close client files, ensuring accurate maintenance of client records Prepare client correspondence, enclosures, and invoices Organise and manage hard copy files, including copying, filing, and retrieving documentation Request and record payments from clients Produce correspondence and documentation from audio dictation Submit SDLT returns to HMRC Submit property registration applications to the Land Registry Assist with drafting contract packs, transfer forms, and other legal doc…",,
32450726-caf7-4c2a-8398-342b7d243dbf,Employment Paralegal (x2) - City of London,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,23150.00,23150.00,Annual,23150.0,NO,"Role: Employment Paralegal Duncan Lewis Solicitors is seeking a motivated and talented Employment Paralegal/Advisor to join our highly regarded Employment Department. This is an excellent opportunity to develop your career with one of the UK's leading law firms, recognised by The Legal 500 and Chambers & Partners as a top-tier practice and awarded Law Firm of the Year at both the 2024 LexisNexis Awards and the 2023 Modern Law Awards. Founded in 1998 and headquartered in the City of London, Duncan Lewis Solicitors is a national, award-winning and paperless law firm with over 500 professionals working across multiple offices nationwide. We provide legal services in more than 25 areas of law and communicate with clients in over 60 languages. Our ethos is simple: ""We give people a voice."" Joining Duncan Lewis means becoming part of an inclusive, diverse and supportive organisation that is committed to professional development, innovation and delivering exceptional client service. Duties and responsibilities As an Employment Paralegal/Advisor, you will play a key role in supporting the Employment Department and delivering excellent legal services to clients. Your responsibilities will i…",,
572bb98b-aa5f-4954-bd20-20add38e2e85,Interim Legal Operations Professional / Paralegal / Qualified Lawyer,OUT_SPECIALIST,specialist/senior technical title boundary,Legal,Hertfordshire,,,Annual,,NO,"Remote 3-Month Contract Immediate Start Day Rate DOE Urgent Requirement Reed is exclusively supporting a market-leading organisation in the search for an experienced Legal Operations Professional, Paralegal, Qualified Lawyer, Contract Manager or Legal Project Manager to join their team on an initial 3-month contract. This is a business-critical assignment supporting a significant contract review and remediation programme. The successful individual will work closely with legal, commercial and operational stakeholders to drive project delivery, manage contract-related activities and ensure key milestones are achieved within challenging timescales. The client is looking for someone who can hit the ground running and confidently manage a high volume of contracts, stakeholders and workstreams in a fast-paced environment. The Role As part of a wider transformation project, you will be responsible for reviewing and managing contractual documentation, coordinating key legal processes and ensuring timely delivery of project objectives. You will act as a key liaison between internal teams and external stakeholders, helping to ensure contractual obligations, project requirements and governanc…",,
2a16905c-f642-49be-907a-030897d9b987,Assistant Practice Manager,OUT_SPECIALIST,specialist/senior technical title boundary,Sales & Marketing,London,,,Annual,,NO,"… team, liaising regularly with clerking colleagues. Reporting to their Practice Manager and Deputy Practice Manager and working closely with all members and staff. Management and organisation of the clerks' room Acting as first point of contact for appointed barristers for the team, both for internal and external clients. Allocating briefs and diary management for their appointed barristers. Advising solicitors and other clients or potential clients of Chambers on appropriate Counsel, their availability, and applicable fee rates. Responding to all queries or requests for information by clients in an efficient, professional, and courteous manner. Negotiating fees, including tranche arrangements and settlement fees, pricing, and billing of work for their appointed barristers. Utilising case management software to record and update case data, diary dates, case records, fee data, tasks, contact details and other related data. Liaising by telephone or in person with the Courts, clients, and other barristers' clerks for fixing dates as appropriate, and logging/maintaining up to date records of such negotiations. Notifying barristers and instructing solicitors, of listing information from the…",,
2181bb1b-5e06-425b-b1ec-9024f41ac2aa,Onboarding Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,35000.00,40000.00,Annual,40000.0,NO,"Onboarding Paralegal London (Hybrid, 3 days in office) Permanent Join an innovative legal business transforming the conveyancing experience through cutting-edge AI and exceptional client service. We're looking for an ambitious Paralegal to play a key role in converting enquiries into instructions and delivering an outstanding client onboarding journey. You'll be the first point of contact for prospective clients, preparing quotes, answering questions, managing follow-ups and giving people the confidence to trust us with one of the biggest transactions of their lives. Based on the uploaded job description. What you'll do Prepare and issue conveyancing quotes Follow up with prospective clients and convert enquiries into instructions Answer client queries in a clear, professional and approachable manner Manage the onboarding pipeline and keep matters progressing Support reporting and provide feedback to improve processes and client experience What we're looking for Strong communication and relationship-building skills Confident, proactive and commercially minded Highly organised with excellent attention to detail Professional, intelligent and customer-focused An interest in legal tech…",,
04b504e2-0bce-4190-ac3c-b18799686c89,Head of Litigation & Disputes,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Devon,50000.00,85000.00,Annual,85000.0,YES,"Head of Litigation & Disputes 5+ PQE Devon Competitive Salary + Hybrid Working An established law firm in Devon is seeking an experienced Head of Litigation & Disputes to lead and grow its Litigation team. This is an excellent opportunity for a senior litigation lawyer looking to combine high-quality fee-earning work with leadership, business development, and strategic responsibility. The Role • Manage a varied caseload of litigation and dispute resolution matters, including complex and high-value disputes• Provide clear, commercial legal advice to clients• Draft pleadings, witness statements, applications, and settlement agreements• Negotiate settlements and represent clients in mediation and related proceedings• Lead, mentor, and develop fee earners and support staff• Contribute to departmental business planning and growth strategies• Build relationships with clients, referrers, and professional contacts• Attend networking and business development events• Support the achievement of departmental financial targets• Ensure compliance with regulatory and risk management requirements About You • A qualified Solicitor or Chartered Legal Executive with significant litigation experience•…",,
7ef09abd-f29d-4af1-8a07-c474b431707b,Property Litigation Solicitor (x3) - City of London,OUT_SPECIALIST,specialist/senior technical title boundary,Legal,London,,,Annual,,NO,"Role: Property Litigation Solicitor Duncan Lewis Solicitors is seeking a talented and driven Property Litigation Solicitor to join our highly regarded Litigation Department. This is an excellent opportunity to develop your career with one of the UK's leading law firms, recognised by The Legal 500 and Chambers & Partners as a top-tier practice and awarded Law Firm of the Year at both the 2024 LexisNexis Awards and the 2023 Modern Law Awards. Founded in 1998 and headquartered in the City of London, Duncan Lewis Solicitors is a national, award-winning, paperless law firm with over 500 professionals nationwide. Our ethos is simple: ""We give people a voice."" Our Litigation Department is recommended by The Legal 500 UK for its expertise in Commercial Litigation, Professional Negligence, Contentious Probate, and General Litigation. Acting for individuals, businesses, charities, and organisations, the team handles a wide range of complex disputes, including contract claims, civil fraud, insolvency, contentious probate, property disputes, and cross-border litigation. The department regularly represents clients in the High Court and Court of Appeal, providing strategic advice, effective disp…",,
3c5ed040-d824-42ea-8d37-d3e73becb4e9,Housing Law Director,OUT_SALARY,"annualised salary exceeds £50,000",Executive Positions,Greater Manchester - Manchester & Salford,70000.00,70000.00,Annual,70000.0,YES,"Role: Housing Litigation Solicitor - Director position - Manchester 3years+ PQE Salary £70,000+ p.a. , DOE Leading law firm looking to recruit dedicated and experienced Housing Solicitor Director for highly sought permanent position. Gemini Recruitment are currently partnering with a large and established law firm. Our client serves corporate entities and private individuals in over 25 practice areas from offices throughout London and across England and Wales. Our client's accomplishments are acknowledged and recommended in The Legal 500 and Chambers and Partners, as a top tier firm. Our client holds the Investors in People Gold Accreditation Quality Standard Mark and is LEXCEL, Cyber Essentials Plus and ISO accredited and regulated by the Solicitors Regulation Authority. Housing Department Background: Our client's Housing team, ranked by The Legal 500 directory for its services across England and Wales, provides assistance to both landlords and tenants on all housing issues. Their practitioners are highly experienced in finding solutions to housing disputes and aim to address the issues quickly and effectively. Our client offers lawyer supported dispute resolution or alternative d…",,
febf0ea4-8ca9-430f-9f1c-b1b76c733f0d,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,30000.00,30000.00,Annual,30000.0,NO,"RESPONSIBILITIES DAY TO DAY Onboarding clients AML checks - when clients send their letters of instruction, register their numbers with Thirdfort and email the client to say you have done that. When the Thirdfort report comes in, save and review Check their source of funds and liaise with the clients to obtain everything we need from them to complete the AML due diligence Dealing with tasks set by the fee earner which will including preparing documents for reporting, competing risk compliance forms, paying invoices. Updating LMS and Lender Exchange Phone calls to clients, banks, estate agents DEALING WITH FUNDS Check accounts emails and claim funds using E-chit that are for our clients Confirming to client funds their funds are in. Sending monies out as requested by the fee earner DRAFTING TR1 Contracts Deed of Covenants SDLT Form 1 Invoices Financial Statements SALE Downloading title deeds from Land Registry Liaise with clients re gathering documents for the contract pack Apply for leasehold information packs Prepare and send draft contract packs to buyers solicitor EXCHANGE Sending Contracts to Sellers/Buyers Sol Completing TA13 - replies to requisitions on sale Preparing completion s…",,
fdc60b98-6262-41e3-8733-2883e2190629,Public Law Paralegal - City of London,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,23150.00,23150.00,Annual,23150.0,NO,"Role: Public Law Paralegal Duncan Lewis Solicitors is seeking a motivated and talented Public Law Paralegals to join our highly regarded Public Law Department . This is an excellent opportunity to develop your career with one of the UK's leading law firms, recognised by The Legal 500 and Chambers & Partners as a top-tier practice and awarded Law Firm of the Year at both the 2024 LexisNexis Awards and the 2023 Modern Law Awards. Founded in 1998 and headquartered in the City of London, Duncan Lewis Solicitors is a national, award-winning, paperless law firm with over 500 professionals nationwide. Our ethos is simple: ""We give people a voice."" Our Public Law team is recognised by The Legal 500 as a ""dynamic team"" that is ""exceptional in ability and reach."" Ranked and recommended for its excellence nationwide, the department acts on both publicly funded and private matters, specialising in judicial review, civil liberties, human rights, and challenges against public bodies including the Home Office, HMRC, local authorities, and the NHS. The team has a strong track record of securing emergency relief, pursuing landmark cases through the higher courts, and representing vulnerable and mar…",,
fbcc10c3-ecf3-4e45-8bda-d8b2ed6af4dd,Residential Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Derbyshire,25000.00,30000.00,Annual,30000.0,NO,"? Conveyancing Assistant ? Matlock, Derbyshire ? £25,000 - £30,000 (DOE) ? Full-time Permanent CRA Consulting is pleased to be working with a well-established firm of solicitors in Matlock who are looking to recruit an experienced Conveyancing Assistant to support their busy Residential Property team. This is a brilliant opportunity for someone who enjoys being at the heart of a conveyancing transaction, supporting fee earners and delivering a smooth client experience from instruction through to completion. The Role ? You'll be supporting on a range of residential conveyancing matters including: Opening files, onboarding and ID checks Managing post, emails and telephone enquiries Preparing and issuing contract packs and initial paperwork Raising and responding to enquiries (where appropriate) Liaising with clients, agents, lenders and third parties Assisting with completions and post-completion administration General admin support to keep files moving efficiently What they're looking for ? Previous experience within a Residential Conveyancing team (assistant/administrator/paralegal) Strong attention to detail and excellent organisation Confident communication skills and great clien…",,
23643_224407358,COMMERICAL LITIGATION SOLICITOR,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Sussex,50000.00,65000.00,Annual,65000.0,YES,"This top firm of Solicitors with offices in East Sussex are looking to recruit a Commercial Litigation Solicitor to be based in their Eastbourne office. The role will give you the opportunity to handle a high-quality caseload of diverse dispute matters, including sale of goods and services disputes, breach of contract, debt recovery, business ownership and partnership disputes, regulatory cases and some intellectual property work. The ideal candidate will be a self-starter, have 4 plus years PQE, and have a talent to help grow the team's existing reputation. In return the company offer an excellent salary and benefits, a dynamic, inclusive and supportive working environments, with a strong commitment to professional development and well-being. To apply please submit your CV to Jan Hanley at Staff Recruit or for more information please telephone Jan Hanley",,
23643_221323171,Head of Litigation,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Leicestershire,60000.00,70000.00,Annual,70000.0,YES,"Are you a Qualified Solicitor with a minimum of 5 years PQE in Litigation? Do you have a proven track record of success in managing and leading a litigation team? Do you have experience in handling a wide range of litigation matters? If you can answer Yes to these questions, then you should apply for this role. THE COMPANY: This company is a reputable and thriving law firm and they are seeking a dynamic and experienced Head of Litigation to join their team. This is an excellent opportunity to lead and develop the litigation department within a supportive and collaborative environment. THE ROLE: As the Head of Litigation, you will be responsible for overseeing all aspects of the firm s litigation practice. This includes managing a small team (1 Solicitor and 2 paralegals), handling complex cases, proving strategic direction, and ensuring the delivery of high-quality legal services to clients. You will play a key role in driving business growth and maintaining the firm s reputation for excellence in litigation. Key responsibilities will include: Lead and manage the litigation department, including recruitment, training and performance management of staff. Develop and implement strate…",,
f68135db-37df-4760-8e2a-8a2de58c4199,Public Law Solicitor (x2) - Manchester,OUT_SPECIALIST,specialist/senior technical title boundary,Legal,Greater Manchester - Manchester & Salford,,,Annual,,NO,"Role: Public Law Solicitor Duncan Lewis Solicitors is seeking a motivated and talented Public Law Solicitors to join our highly regarded Public Law Department . This is an excellent opportunity to develop your career with one of the UK's leading law firms, recognised by The Legal 500 and Chambers & Partners as a top-tier practice and awarded Law Firm of the Year at both the 2024 LexisNexis Awards and the 2023 Modern Law Awards. Founded in 1998 and headquartered in the City of London, Duncan Lewis Solicitors is a national, award-winning, paperless law firm with over 500 professionals nationwide. Our ethos is simple: ""We give people a voice."" Our Public Law team is recognised by The Legal 500 as a ""dynamic team"" that is ""exceptional in ability and reach."" Ranked and recommended for its excellence nationwide, the department acts on both publicly funded and private matters, specialising in judicial review, civil liberties, human rights, and challenges against public bodies including the Home Office, HMRC, local authorities, and the NHS. The team has a strong track record of securing emergency relief, pursuing landmark cases through the higher courts, and representing vulnerable and mar…",,
f4b567ee-0688-4dbd-9fac-e0b9082e2691,Children Law Paralegal - Birmingham,LIKELY_IN,ordinary workplace IT support title signal,Legal,West Midlands - Birmingham & Solihull,23150.00,23150.00,Annual,23150.0,NO,"Role: Children Paralegal Duncan Lewis Solicitors is seeking a motivated and talented Child Care Paralegal to join our highly regarded Child Care Department . This is an excellent opportunity to develop your career with one of the UK's leading law firms, recognised by The Legal 500 and Chambers & Partners as a top-tier practice and awarded Law Firm of the Year at both the 2024 LexisNexis Awards and the 2023 Modern Law Awards. Founded in 1998 and headquartered in the City of London, Duncan Lewis Solicitors is a national, award-winning, paperless law firm with over 500 professionals nationwide. Our ethos is simple: ""We give people a voice."" Our highly specialised Child Care Department is recognised by The Legal 500 as ""an extremely knowledgeable and hugely capable child care team"" and is ranked for its expertise across all aspects of child care law. The team represents children, parents, guardians and family members in a broad range of matters, including care proceedings, adoption, surrogacy, co-parenting arrangements and international child issues. The department is distinguished by its exceptional accreditations, with many team members holding Law Society Children Panel membership a…",,
341839dd-aa14-480d-a2ab-6091b64cdcde,Legal Secretary - Excellent Benefits & Environment,LIKELY_IN,ordinary workplace IT support title signal,Administration,Norfolk,24000.00,28000.00,Annual,28000.0,NO,"Legal Secretary - Are you looking for a welcoming environment along with an excellent package that will be regularly reviewed? Our highly respected client is looking to recruit for two key departments where you will be responsible for day to day support to the fee earners. Long with excellent secretarial and communication skills we ideally would like to see applications with Private Client and Conveyancing work history. If you have the relevant, legal background please apply with a current CV.",,
3348013a-7d62-4b28-b92a-3848216695b3,Fee Earner/Paralegal - Conveyancing - Hybrid,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Suffolk,48000.00,52000.00,Annual,52000.0,YES,"Conveyancing Fee Earner - Hybrid Looking to progress your career? Do you have conveyancing experience and now wish to progress to a fee earning position? I am pleased to be working for an established business who through sustainable growth, have an opportunity for an experienced Conveyancing Fee Earner/Paralegal. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications I look forward to your application, please apply with a current CV or contact Carolyn Thompson at Reed Legal via LinkedIn for a 100% confidential chat.",,
2b975531-d41d-4f11-a235-e3947f3ab59f,Residential Property Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,25000.00,32000.00,Annual,32000.0,NO,"Residential Property Paralegal Looking for flexible working? I am pleased to be working for an established firm who through sustainable growth, has an opportunity for an experienced Fee Earner or Paralegal Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications In addition to a very competitive salary the position offers an attractive benefits package and development for those who wish to progress a career in this field. If you would like to have a confidential conversation about this super opportunity, please apply with your CV. Thank you for your interest.",,
2af65f4d-fe2c-417f-95c7-84cb69114fa7,Conveyancing Fee Earner/Paralegal WITH Training Contract,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,22000.00,30000.00,Annual,30000.0,NO,"CONVEYANCING FEE EARNER/PARALEGAL - COLCHESTER & CHELMSFORD Looking for a high profile firm that will offer a training contract? I am pleased to be working for an established, regional, agile practice who through sustainable growth, has an opportunity for an experienced Fee Earner or Assistant. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications In addition to a very competitive salary the position offers an attractive benefits package. If you would like to have a confidential conversation about this super opportunity, please apply with your CV. Thank you for your interest.",,
2a9e8516-7509-4989-9578-74776c80561d,Conveyancing - Paralegal /Fee Earner - Near Southend,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,22000.00,28000.00,Annual,28000.0,NO,"Residential Conveyancing Paralegal/Fee Earner - Easy commute from Southend Looking to progress your career or simply change your environment? I am pleased to be working for an established business who through sustainable growth, have an opportunity for an experienced Conveyancing Paralegal. In addition to a competitive salary you will rbe joing an supportive and progressive team. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications I look forward to your application, please apply with a current CV or contact Carolyn Thompson at Reed Legal via LinkedIn for a 100% confidential chat.",,
2783cbb8-793f-41b2-8982-96429ae631fe,Legal Secretary - Excellent Benefits & Environment,LIKELY_IN,ordinary workplace IT support title signal,Administration,Norfolk,20000.00,24000.00,Annual,24000.0,NO,"Legal Secretary - Are you looking for a welcoming environment along with an excellent package that will be regularly reviewed? Our highly respected client is looking to recruit for two key departments where you will be responsible for day to day support to the fee earners. Long with excellent secretarial and communication skills we ideally would like to see applications with Private Client and Conveyancing work history. If you have the relevant, legal background please apply with a current CV.",,
26daef52-c45d-47ce-8f0c-f199dcbfe027,Paralegal Conveyancing - Residential / Commercial after training,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,23000.00,27000.00,Annual,27000.0,NO,"Are you looking to properly start your law career? Are you looking for an opportunity where you can gain experience in many areas of law? We are looking for someone who is studying or graduated with just 1 year conveyancing experience to join this reputable, regional firm who are renowned for investing in their people. Initially the position will be supporting Fee Earners with a residential caseload with progression into commercial property, applications will be welcomed from both areas of law. The usual general duties will include: Research Meeting Clients Preparing documentation If have a genuine passion for law and want to join a firm that will take your career as seriously as you then please apply with a current CV.",,
267c9d91-5573-4621-9926-d8074450732b,Conveyancing Assistant/Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Norfolk,24000.00,28000.00,Annual,28000.0,NO,"CONVEYANCING ASSISTANT - Training Provided Looking for a rewarding, agile firm? I am pleased to be working for an established firm who through sustainable growth, has an opportunity for an Assistant to join a busy conveyancing team. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion. You will be supporting the fee earners and receive ongoing training. If you are eager to start your career in law and take great satisfaction from a job well done the please apply to arrange a confidential conversation about this super opportunity. Thank you for your interest.",,
25e37abf-e344-43da-b12b-ecf9a4955d59,Private Client Fee Earner/ Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Norfolk,,,Annual,,NO,"This is an active opportunity for a Private Client Paralegal looking to join an innovative, multidisciplinary law firm who pride themselves on delivering an exceptional level of service to all of their clients. This opportunity will see you working and taking on a varied caseload of Private Client matters including wills, trusts, estate planning, lasting powers of attorney, contentious & non-contentious probate, and court of protection work. The successful candidate will be provided with a strong career path and an attractive portfolio of benefits. If you are a Private Client Solicitor who is seeking their next career move, please do apply now, or contact Carolyn Thompson at REED Legal, Norwich for a confidential chat. Not for you? You can also find or contact me via linked in where I regularly post new legal practice opportunities - all conversations are 100% confidential.",,
2006024e-2691-40b7-bce8-d2bd74cc9e47,Private Client Legal Assistant / Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Suffolk,23500.00,26000.00,Annual,26000.0,NO,"Private Client Legal Assistant / Paralegal Opportunity for a career path with a growing regional firm that has an exceptional reputation and is well known for investing in their staff. Not only do they offer a flexible, modern environment, development is available at all levels and fully supported. If you have some experience within Private Client as a Secretary/Assistant or Paralegal, we would be very pleased to hear from you to explain in more detail. For a confidential chat, please apply with a current CV.",,
1d87e60c-f4b8-45c8-b49b-5a1c54f9b9e8,Legal Secretary - Flexible Working - Excellent Benefits & Environment,LIKELY_IN,ordinary workplace IT support title signal,Administration,Suffolk,,,Annual,,NO,"Legal Secretary - Bury St Edmunds - In-house position. Are you looking for a more flexible and welcoming environment along with an excellent package that will be regularly reviewed? Our highly respected client is looking to recruit for the conveyancing team where you will be responsible for day to day support to the fee earners. Long with excellent secretarial and communication skills we ideally would like to see applications with Conveyancing work history. Key responsibilities will include: Handling residential and commercial conveyancing transactions: Preparation, checking and proof reading of correspondence under the supervision of a fee earner. Type and complete legal and company forms, setting up documents from a precedent, and complete routine searches. Taking telephone calls when a fee earner is engaged or absent and taking accurate messages. Diary management for fee earners and arranging appointments via Outlook. Monitoring deadlines in respect of client affairs and notifying the relevant fee earner. Maintaining client files. General and routine office duties, such as photocopying and filing, both electronically and physically. We look forward to your application.",,
1cf5935c-68b5-4768-842f-22fc7ea3ee99,Conveyancing - Flexible Working - Fee Earner/Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,32000.00,38000.00,Annual,38000.0,NO,"FLEXIBLE WORKING CONVEYANCING FEE EARNER/PARALEGAL - £32,000 - £38,000 + GENEROUS BONUS SCHEME Looking for fa rewarding, agile firm? I am pleased to be working for an established firm who through sustainable growth, has an opportunity for an experienced Fee Earner or Assistant. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications In addition to a very competitive salary the position offers an attractive benefits package which features a BONUS SCHEME and PRIVATE HEALTH for Fee Earners. If you would like to have a confidential conversation about this super opportunity, please apply with your CV. Thank you for your interest.",,
18398406-50a6-4756-a458-007cde0970d0,Conveyancing - Flexible Working - Fee Earner/Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Suffolk,28000.00,48000.00,Annual,48000.0,NO,"FLEXIBLE WORKING CONVEYANCING FEE EARNER/PARALEGAL - BONUS SCHEME- Suffolk Looking for flexible working? Want to work from home 1-5 days a week? I am pleased to be working for an established firm who through sustainable growth, has an opportunity for an experienced Fee Earner or Assistant. Offering job security and progression, this local business is dedicated to quality and personal service. The role will involve all types of conveyancing matters from inception through to post-completion including: Registered & unregistered Freehold, leasehold, new build & shared ownership Re-mortgages, transfers of equity & help to buy Land Registry applications In addition to a very competitive salary the position offers an attractive benefits package which features a BONUS SCHEME and PRIVATE HEALTH for Fee Earners. If you would like to have a confidential conversation about this super opportunity, please apply with your CV. Thank you for your interest.",,
