run_date,source,source_job_id,canonical_url,title,employer,location,postcode,salary_text,posted_date,closing_date,employment_type,description_excerpt,first_discovery_route,first_discovery_query,first_discovery_page,discovery_routes,discovery_occurrences,detail_fetch_status,factual_fingerprint
2026-08-23,Teaching Vacancies,260514r1-director-of-finance-chief-financial-officer,https://teaching-vacancies.service.gov.uk/jobs/260514r1-director-of-finance-chief-financial-officer,[260514R1] Director of Finance & Chief Financial Officer,Reach South Academy Trust,"Plymouth, PL1 4RL",PL1 4RL,"£90,000.00 - £114,225.00 Annually (Actual)",2026-07-31,2026-08-25T23:59:00+01:00,['FULL_TIME'],"Post: [260514R1] Director of Finance & Chief Financial Officer Location: Fully Remote Salary: £90,000 to £114,225 per annum, depending on experience, skills and knowledge pending 3.3% pay award. Contract Type: Permanent, Full-time Contract Hours: 37.5 Hours per week, Monday to Friday For more information about the role, please view our Applicant Pack -Director of Finance Applicant Pack Please note: We are not accepting applications via recruitment agencies or search firms for this vacancy. About the Role We are seeking an exceptional, strategic and values-driven leader to join Reach South Academy Trust as Director of Finance and Chief Financial Officer. This is a pivotal Executive Leadership Team role at a defining stage in the Trust's development, combining system-wide financial leadership with executive accountability for governance, assurance and organisational sustainability. This is far more than a finance leadership position. As CFO, you will be a key architect of the Trust's future, working alongside the CEO, Trustees and Executive colleagues to shape strategy, drive sustainable growth and ensure that every decision supports our mission to improve outcomes for children and y",administration-category,"Administration, HR, data and finance",6,"[{""page"": 6, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,91af3bcc92b0d7b2e7222ed891154f8422ef5d5153cbde0634ff913b0f3851fa
2026-08-23,Teaching Vacancies,260720a-office-manager,https://teaching-vacancies.service.gov.uk/jobs/260720a-office-manager,[260720A] Office Manager,SAIL (Salisbury Academy for Inspirational Learning),"Salisbury, South West, SP2 7EU",SP2 7EU,"£31,537.00 - £33,699.00 Annually (FTE) NJC Grade H pt 15 - 17",2026-07-15,2026-08-31T23:59:00+01:00,['FULL_TIME'],"Job Title: Office Manager Location: SAIL Academy, Salisbury, Wiltshire, SP2 9HS FTE Salary Range: £31,537 - £33,699 Actual Salary: £29,879 - £31,928 Job type: Full Time, Permanent - term time (including inset days) plus 3 weeks equating to 42 working weeks of the year Job overview We are looking for candidates who have excellent organisation and administrative skills and be able communicate effectively. To manage a busy school office including a team of administrators, working with financial and HR systems and processes, implementing and maintaining new office systems, taking minutes, handling correspondences and dealing with sensitive and confidential issues. Training will be available for key duties. The position would suit someone who is able to multi task and work accurately and efficiently under pressure in a fast-changing environment. Please see the attached job description for more information. Our school SAIL academy is an academy school (Reach South Academy Trust) for pupils aged 5-19 with SEMH, ASD, and complex needs, all with EHCPs. We take a therapeutic, relationship-based approach where behaviour is understood as communication. You will work in an immensely rewarding,",administration-category,"Administration, HR, data and finance",17,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",2,OK,b173706373dcb1583f06b3e64bb8a03b1972034ab23c30b51992b29b5d836fa2
2026-08-23,Teaching Vacancies,260720b-administrator,https://teaching-vacancies.service.gov.uk/jobs/260720b-administrator,[260720B] Administrator,Hill View Primary Academy,"Bournemouth, South West, BH10 5BD",BH10 5BD,"£25,989.00 - £27,254.00 Annually (FTE) NJC Grade 4 Pt 6-9",2026-07-16,2026-08-23T23:59:00+01:00,['PART_TIME'],"Hill View Primary, Reach South Academy Trust is seeking to appoint an experienced Administrator to join the school 1st October 2026 Post: Administrator Location: Hill View Primary, Hill View Road, Bournemouth, BH10 5BD FTE Salary Range: NJC Grade 4 point 6 - point 9; £25,989 - £27,694 Actual Annual Salary: £18,752 - £19,665 Contract Type: Permanent Contract Hours: 32.5 hours per week, Monday to Friday, 9.00am - 4.30pm About the role We are seeking to appoint an excellent administrator to support the Office Manager in the management and delivery of all office and administrative services for Hill View Primary. About the successful candidate This is a great opportunity for a self-motivated, self-sufficient, dynamic ability to work well in a team and to use their own initiative and well organised with a can do attitude to be part of a fast-growing team. We are looking for people who have the following experience and qualities: GCSE mathematics and English - grade C and above or equivalent NVQ level 3 in administration or equivalent Good Knowledge of general computer packages, office equipment, Microsoft office, photocopiers, telephone systems etc Good keyboard and typing skills for the",administration-category,"Administration, HR, data and finance",2,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,f72bf258a0002b822edcfbc421fe30725fec6747668fab2028bee7c89f6d8325
2026-08-23,Teaching Vacancies,260819-people-team-administrator,https://teaching-vacancies.service.gov.uk/jobs/260819-people-team-administrator,[260819] People Team Administrator,Reach South Academy Trust,"Plymouth, PL1 4RL",PL1 4RL,"£26,824.00 - £29,540.00 Annually (FTE) NJC Plymouth Grade D Pt 8-14",2026-08-19,2026-08-31T23:59:00+01:00,['FULL_TIME'],"Post: People Team Administrator Location: Plymouth Based (hybrid delivery model of home and site based according to business requirements) FTE Salary Range: NJC Grade D £26,824 rising to a maximum of £29,540 per annum Contract Type: Full time, Permanent Contract Hours: 37.5 per week, Monday to Friday (Alternative working patterns considered but core hours must be Monday to Friday) To learn more about Reach South Academy Trust, this vacancy and our employee benefits, view our detailed applicant pack here: People Team Administrator - Applicant Pack Please note: We are not accepting applications via recruitment agencies or search firms for this vacancy About the role An exciting opportunity has arisen within our rapidly developing Multi Academy Trust for a talented Administrator to join our team. Are you a customer focused, curious thinker with excellent administration, initiative, tenacity, and thrive in an environment where you can work on your own with minimal supervision? Are you committed to joining a passionate team that is dedicated to its (circa) 1400 employees and collaborative in nature with experience of managing a wide range of queries Do you enjoy variety within your job",administration-category,"Administration, HR, data and finance",15,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 18, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",3,OK,63801244f23b42a3bcabf6408e8d70cfbd109a767f3f447e30cb86d4f1782812
2026-08-23,Teaching Vacancies,260820c-administrator,https://teaching-vacancies.service.gov.uk/jobs/260820c-administrator,[260820C] Administrator,ACE Tiverton Special School,"Tiverton, South West, EX16 5HB",EX16 5HB,"£25,185.00 - £26,403.00 Annually (FTE) NJC Grade C Pt 5 - 7",2026-08-20,2026-08-31T23:59:00+01:00,['PART_TIME'],"Post: Administrator Location: ACE Tiverton School, Orchard Way, Tiverton, EX16 5HB FTE Salary Range: NJC Grade C £25,185 to £26,403 Actual Salary Range: £19,997 to £20,638 These salaries will increase once the NJC pay award is agreed. Contract Type: Permanent, part time, term time only (39 weeks per year) Contract Hours: 32.5 hours per week, Monday to Friday Are you an organised, professional, and friendly administrator looking for an opportunity to make a difference in a school environment? ACE Tiverton is seeking a dedicated Administrator to support the smooth day-to-day running of our school. Working closely with the Office Manager and wider school team, you will play a key role in providing high-quality administrative support while being one of the first points of contact for pupils, parents, staff, and visitors. About the role As our Administrator, you will help ensure the efficient operation of the school office by: Providing reception and front-of-house support, including greeting visitors and handling enquiries. Answering telephone calls and responding to routine enquiries. Maintaining accurate manual and electronic records. Supporting a range of administrative processes an",administration-category,"Administration, HR, data and finance",17,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,1df285a129f76ce523da74c8a8e5a5a8d7c6c48deba3b467a5322cd4b0b56526
2026-08-23,Teaching Vacancies,academy-administration-officer-the-priory-witham-academy-lincoln-lincolnshire,https://teaching-vacancies.service.gov.uk/jobs/academy-administration-officer-the-priory-witham-academy-lincoln-lincolnshire,Academy Administration Officer,The Priory Witham Academy,"Lincoln, East Midlands, LN6 7DT",LN6 7DT,"PPS 9 -10 £27,254 - £27,694 pro rata to £23,842 - £24,227 per annum",2026-08-21,2026-09-13T23:59:00+01:00,['FULL_TIME'],"The Priory Witham Academy is looking for an enthusiastic and motivated Academy Administration Officer to join a school that makes a genuine difference to its students and supports its staff to achieve their individual goals. We passionately believe there is something special about our Academy – a tangible sense of community and an unwavering commitment to fulfil our motto ‘Believe Together Achieve Together’. The Priory Witham Academy is an ‘all through’ (EYFS – 18) Academy in Lincoln that is central to the community it serves. Our dedicated team of staff are supportive and aspirant and in return benefit from a high trust, high accountability environment where our ‘open door’ policy values and celebrates the inputs of individuals to create our Academy vision. Applicants should be flexible, show initiative and be able to work closely within our team of support and academic staff. The post holder will have a welcoming and friendly approach to visitors; have excellent organisational skills, a proactive approach to changing circumstances, a willingness to work with others and the ability to think ‘outside of the box’. Candidates should have GCSE English and Mathematics grade A–C or equi",administration-category,"Administration, HR, data and finance",47,"[{""page"": 47, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,b93cc5f2d1dcb5583fb818422e6b64b0dc14b9cbf602bd0bb8f90010a492220b
2026-08-23,Teaching Vacancies,academy-administrator-2decb1eb-10bf-41ec-b839-97ff2b75324b,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-2decb1eb-10bf-41ec-b839-97ff2b75324b,Academy Administrator,The Adeyfield Academy,"Hemel Hempstead, East of England, HP2 4DE",HP2 4DE,"£23,939.00 - £25,947.00 Annually (Actual) Term time plus two weeks",2026-08-10,2026-08-23T23:59:00+01:00,['FULL_TIME'],"We are seeking to appoint an enthusiastic team player to assist in providing high-level administrative support across the school. The successful candidate will be very well organised, detail-oriented, and have the ability to work well as part of a team. Reporting to the PA to the Headteacher, you will deliver comprehensive administrative support across the academy, managing behaviour tracking, student recognition reports, meeting minutes, and document branding. You will act as a key contact for stakeholders by handling primary transition liaisons, supporting SLT diary management, and delivering exceptional face-to-face, phone, and email communication. Additionally, the role involves providing reliable main reception cover during peak times and assisting with the planning and delivery of whole-school events. There is scope for ongoing professional development within this role to reflect personal aspirations and skills. The Academy offers: * A friendly working environment with supportive and caring colleagues * Generous pension benefits * Onsite catering facilities * Excellent facilities with significant recent investment * All staff encouraged and supported in their professional dev",administration-category,"Administration, HR, data and finance",2,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,3b93587acd81ca49c9bd5df2efbb03d2df55f660cb5a62b23611a06fbb5b88fc
2026-08-23,Teaching Vacancies,academy-administrator-chepping-view-primary-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-chepping-view-primary-academy,Academy Administrator,Chepping View Primary Academy,"High Wycombe, South East, HP12 4PR",HP12 4PR,"£15,197.00 - £16,683.00 Annually (Actual) Bucks Pay Range 2-3 (dependent on experience). Salary is pro rata to hours and weeks worked. Actual estimated gross salary £15,197-£16,683 pro rata",2026-07-14,2026-08-28T23:59:00+01:00,['PART_TIME'],"Academy Administrator Job title: Academy Administrator Salary: Bucks Pay Range 2-3 (dependent on experience). Salary is pro rata to hours and weeks worked. Actual estimated gross salary £15,197-£16,683 pro rata Hours: 25 hours per week -Monday -Friday 8:00am-1:00pm Weeks 39 weeks per annum this includes INSET days as set by the Trust. Closing date: Friday 28th August 2026 - Midday Provisional Start date: October /November subject to satisfactory completion of all pre-employment checks Beneﬁts: Trustee Day (one well-being paid day oﬀ per year), Wrap Around Child Care available to staﬀ. Interviews: Week commencing 4th September 2026 Early applications are encouraged, we reserve the right to interview strong applicants before the closing date of this advert. Job Description: This Job Description is indicative of the role for the current status of the Trust, the role may vary as the Trust develops and grows. Job Purpose: To provide administrative support to the Principal to support in the efficient and effective operational functioning of the academy. Main Duties : The post-holder will be expected to carry out the following- please also refer to the attached recruitment pack for a full",administration-category,"Administration, HR, data and finance",9,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,f7e66b255404cd81fe7ac61d43817525cae45c48cab4c64443a0fb381e4110ff
2026-08-23,Teaching Vacancies,academy-administrator-crowan-primary-school,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-crowan-primary-school,Academy Administrator,Crowan Primary School,"Camborne, South West, TR14 0LG",TR14 0LG,,2026-07-31,2026-08-31T23:59:00+01:00,['PART_TIME'],"We are seeking an Administrator who will be required to work 14 hours per week, on a permanent basis, term time plus 2 INSET days. The hours of work will be 08:30am to 12:00pm, Monday to Thursday. The successful candidate will have proficient organisation skills, competent IT knowledge in a range of applications and software systems. An excellent range of communication skills is also essential for this position. The interview date will be during the week commencing 7th September 2026",administration-category,"Administration, HR, data and finance",17,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",3,OK,08801c1f4e7544294776d85e04376057ea9306912e21f4a91d957c63cd382191
2026-08-23,Teaching Vacancies,academy-administrator-cubert-primary-school,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-cubert-primary-school,Academy Administrator,Cubert Primary School,"Newquay, South West, TR8 5HE",TR8 5HE,,2026-07-31,2026-09-06T23:59:00+01:00,['PART_TIME'],"We are seeking an organised and efficient Administrator to support the smooth day to day running of our school. This is a permanent position for 32.5 hours per week, term time plus 2 INSET days. The hours of work are 08:30am - 03:30pm, Monday to Friday. The proposed interview date is 11th September2026",administration-category,"Administration, HR, data and finance",37,"[{""page"": 37, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,cb2a7751402e908aea6faa7bf1120e4c881a53d68c7cb860ec582d2db2c8cb85
